Date,BTC_weighted_price,BTC_volume,BTC_open,BTC_high,BTC_low,BTC_close,BTC_pcnt_change,ETH_weighted_price,ETH_volume,ETH_open,ETH_high,ETH_low,ETH_close,ETH_pcnt_change,LTC_weighted_price,LTC_volume,LTC_open,LTC_high,LTC_low,LTC_close,LTC_pcnt_change
2012-03-30,4.85723113361,161.39879423,4.81,4.91,4.76,4.88,1.4553014553014614,,,,,,,,,,,,,,
2012-03-31,4.91016941137,158.37378321,4.9,4.92,4.89,4.9,0.0,,,,,,,,,,,,,,
2012-04-01,4.79312554873,308.5058652,4.89,4.89,4.77,4.89,0.0,,,,,,,,,,,,,,
2012-04-02,4.92604845007,888.57861157,4.8,5.04,4.78,5.04,5.000000000000004,,,,,,,,,,,,,,
2012-04-03,4.97073785718,244.30290125,5.04,5.04,4.86,4.99,-0.9920634920634885,,,,,,,,,,,,,,
2012-04-04,4.91519397483,305.43564088,4.92,5.01,4.86,5.01,1.829268292682924,,,,,,,,,,,,,,
2012-04-05,4.96502351692,400.86488523,4.99,5.04,4.89,5.0,0.20040080160320214,,,,,,,,,,,,,,
2012-04-06,4.88161796438,725.95771755,4.9,4.99,4.81,4.99,1.8367346938775482,,,,,,,,,,,,,,
2012-04-07,4.79159460934,228.65562961,4.94,4.94,4.7,4.7,-4.8582995951417045,,,,,,,,,,,,,,
2012-04-08,4.75130819928,177.21795867,4.8,4.8,4.69,4.76,-0.8333333333333341,,,,,,,,,,,,,,
2012-04-09,4.77373342597,158.55832457,4.7,4.85,4.7,4.75,1.0638297872340388,,,,,,,,,,,,,,
2012-04-10,4.8140529819,314.81763742,4.75,4.87,4.75,4.8,1.0526315789473648,,,,,,,,,,,,,,
2012-04-11,4.87096366652,425.60463177,4.86,4.92,4.78,4.92,1.2345679012345598,,,,,,,,,,,,,,
2012-04-12,4.84671066125,756.79455183,4.87,4.93,4.73,4.93,1.2320328542094374,,,,,,,,,,,,,,
2012-04-13,4.89476746566,1102.2658949,4.88,4.95,4.81,4.93,1.0245901639344226,,,,,,,,,,,,,,
2012-04-14,4.97165159157,544.64998903,4.94,5.01,4.94,4.96,0.40485829959513303,,,,,,,,,,,,,,
2012-04-15,4.95688209505,114.97408628,4.96,4.99,4.92,4.99,0.6048387096774244,,,,,,,,,,,,,,
2012-04-16,4.95713672084,487.00754874,4.93,4.98,4.93,4.98,1.014198782961475,,,,,,,,,,,,,,
2012-04-17,4.9816110764,282.51538718,4.99,4.99,4.95,4.98,-0.20040080160320214,,,,,,,,,,,,,,
2012-04-18,5.10167577362,839.9317501,4.98,5.18,4.98,5.16,3.6144578313252955,,,,,,,,,,,,,,
2012-04-19,5.11405755109,562.65170962,5.17,5.18,5.06,5.13,-0.773694390715668,,,,,,,,,,,,,,
2012-04-20,5.16852483021,372.83588987,5.15,5.38,5.09,5.38,4.466019417475719,,,,,,,,,,,,,,
2012-04-21,5.25703500442,301.94356518,5.4,5.43,5.19,5.24,-2.9629629629629655,,,,,,,,,,,,,,
2012-04-22,5.21099098956,139.56864263,5.24,5.25,5.17,5.17,-1.3358778625954253,,,,,,,,,,,,,,
